"","alpha_cases","alpha_deaths","beta_z_max","cfr_00_04","lambda","phi_05_14","phi_15_plus","prop_SW","R0_hh","R0_sw_st"
"alpha_cases",0.00148948095054698,-2.34536739253009e-05,-0.00531264606912047,-4.36146299386344e-06,-0.0545849660329864,0.000384139179453165,-0.000148759037047151,-3.72031802705574e-06,0.000368565854713795,1.52563270134314e-05
"alpha_deaths",-2.34536739253009e-05,0.00943505736220406,0.000888450781674457,1.17176985863082e-05,-0.971041450315923,-7.39977280368278e-05,-0.000683295915722824,-1.02398979406409e-05,-7.3082973488412e-05,3.30834833445752e-05
"beta_z_max",-0.00531264606912047,0.000888450781674457,1.75109023393342,-0.0017866099674247,27.4979938455933,-0.0443621548136926,0.0241657253698252,0.000266193981391228,-0.082356380343853,-0.000960776550187347
"cfr_00_04",-4.36146299386344e-06,1.17176985863082e-05,-0.0017866099674247,1.7367504144614e-05,-0.343462496142127,5.78927592003399e-05,-2.38314528785976e-05,-8.97643117280402e-07,7.52261441271274e-05,7.02699184546303e-06
"lambda",-0.0545849660329864,-0.971041450315923,27.4979938455933,-0.343462496142127,79582.0522526957,-1.8866019144027,-1.03395788437973,0.0286999825813781,-1.34758528813339,0.10976633564554
"phi_05_14",0.000384139179453165,-7.39977280368278e-05,-0.0443621548136926,5.78927592003399e-05,-1.8866019144027,0.00482183184441184,0.00075676265932643,-1.79730127942054e-05,0.000849475262309152,7.72125750031797e-05
"phi_15_plus",-0.000148759037047151,-0.000683295915722824,0.0241657253698252,-2.38314528785976e-05,-1.03395788437973,0.00075676265932643,0.00799659335956801,-9.21798857947927e-06,-0.00400459005299719,0.00012584655575847
"prop_SW",-3.72031802705574e-06,-1.02398979406409e-05,0.000266193981391228,-8.97643117280402e-07,0.0286999825813781,-1.79730127942054e-05,-9.21798857947927e-06,5.58767651272079e-06,-1.32606729039697e-05,1.01653937615918e-05
"R0_hh",0.000368565854713795,-7.3082973488412e-05,-0.082356380343853,7.52261441271274e-05,-1.34758528813339,0.000849475262309152,-0.00400459005299719,-1.32606729039697e-05,0.0065286620333149,-8.83376310376592e-05
"R0_sw_st",1.52563270134314e-05,3.30834833445752e-05,-0.000960776550187347,7.02699184546303e-06,0.10976633564554,7.72125750031797e-05,0.00012584655575847,1.01653937615918e-05,-8.83376310376592e-05,0.00101762681288614
