"","alpha_cases","alpha_deaths","cfr_00_04","lambda","phi_05_14","phi_15_plus","prop_SW","R0_hh","R0_sw_st"
"alpha_cases",0.000621542493743387,0.000152107105750546,3.97035344344209e-06,0.0201918199913277,0.000109037918435306,0.000149484572121752,1.19852167301984e-05,-0.000784919875164285,0.000370144333840276
"alpha_deaths",0.000152107105750546,0.0396519040004319,0.000134309122009659,0.0335590226311939,-0.00404121306414824,-0.00166358861588624,0.000102879952486112,-0.00166585246360231,0.00375541742181963
"cfr_00_04",3.97035344344209e-06,0.000134309122009659,2.70701970942043e-06,0.00078018854097854,2.01678980858163e-05,2.01251998331932e-06,7.62766138984893e-07,-5.91270960081992e-05,2.81869224166097e-05
"lambda",0.0201918199913277,0.0335590226311939,0.00078018854097854,13.2479846312823,-0.0465078792554418,-0.0528361997474946,0.00401818886186779,-0.125434162440918,0.137292563362225
"phi_05_14",0.000109037918435306,-0.00404121306414824,2.01678980858163e-05,-0.0465078792554418,0.0273627046479388,0.00198082719566506,-0.000111901697028664,-0.00320639995406877,-0.00407637554940592
"phi_15_plus",0.000149484572121752,-0.00166358861588624,2.01251998331932e-06,-0.0528361997474946,0.00198082719566506,0.00268400707278518,-9.34932336237062e-05,0.000745211808400356,-0.00352082495130459
"prop_SW",1.19852167301984e-05,0.000102879952486112,7.62766138984893e-07,0.00401818886186779,-0.000111901697028664,-9.34932336237062e-05,6.99316545246127e-06,-0.000147845574514882,0.000245482198410921
"R0_hh",-0.000784919875164285,-0.00166585246360231,-5.91270960081992e-05,-0.125434162440918,-0.00320639995406877,0.000745211808400356,-0.000147845574514882,0.00868825809188692,-0.00560803101097236
"R0_sw_st",0.000370144333840276,0.00375541742181963,2.81869224166097e-05,0.137292563362225,-0.00407637554940592,-0.00352082495130459,0.000245482198410921,-0.00560803101097236,0.00894015222829158
